price,location,furnishingLevel,bedrooms,bathrooms,parking
230000,Taman Desa,Unfurnished,3,2,1
230000,Taman Desa,Unfurnished,3,2,1
230000,Taman Desa,Unfurnished,3,2,1
230000,Taman Desa,Unfurnished,3,2,1
230000,Taman Desa,Unfurnished,3,2,1
230000,Taman Desa,Unfurnished,3,2,1
230000,Wangsa Maju,Partly Furnished,2,1,1
230000,Wangsa Maju,Partly Furnished,2,1,1
235000,Ampang,Unfurnished,3,2,1
235000,Ampang,Unfurnished,3,2,1
235000,Setapak,Partly Furnished,2,1,1
235000,Setapak,Partly Furnished,2,1,1
235000,Wangsa Maju,Unfurnished,2,1,1
235000,Wangsa Maju,Unfurnished,2,1,1
238000,Cheras,Partly Furnished,3,2,1
238000,Cheras,Partly Furnished,3,2,1
238000,Jinjang,Fully Furnished,3,2,1
238000,Jinjang,Fully Furnished,3,2,1
238000,Setapak,Partly Furnished,3,1,1
238000,Setapak,Partly Furnished,3,1,1
240000,Cheras,Partly Furnished,3,2,1
240000,Cheras,Partly Furnished,3,2,1
240000,Setapak,Partly Furnished,2,1,1
240000,Setapak,Partly Furnished,2,1,1
240000,Setapak,Partly Furnished,3,2,1
240000,Setapak,Partly Furnished,3,2,1
245000,Desa Petaling,Partly Furnished,3,2,1
245000,Desa Petaling,Partly Furnished,3,2,1
245000,Sentul,Partly Furnished,3,2,1
245000,Sentul,Partly Furnished,3,2,1
245000,Setapak,Partly Furnished,3,2,1
245000,Setapak,Partly Furnished,3,2,1
245000,Taman Desa,Partly Furnished,2,2,1
245000,Taman Desa,Partly Furnished,2,2,1
245000,Taman Desa,Partly Furnished,2,2,1
245000,Taman Desa,Partly Furnished,2,2,1
248000,Bandar Tasik Selatan,Partly Furnished,3,2,1
248000,Bandar Tasik Selatan,Partly Furnished,3,2,1
248000,Kuchai Lama,Partly Furnished,3,1,1
248000,Kuchai Lama,Partly Furnished,3,1,1
250000,Bandar Tasik Selatan,Partly Furnished,3,2,1
250000,Bandar Tasik Selatan,Partly Furnished,3,2,1
250000,Bukit Jalil,Unfurnished,2,1,1
250000,Bukit Jalil,Unfurnished,2,1,1
250000,Cheras,Partly Furnished,3,2,1
250000,Cheras,Partly Furnished,3,2,1
250000,Cheras,Partly Furnished,3,2,1
250000,Cheras,Partly Furnished,3,2,1
250000,Cheras,Partly Furnished,3,2,1
250000,Cheras,Partly Furnished,3,2,1
250000,Cheras,Partly Furnished,3,2,1
250000,Cheras,Partly Furnished,3,2,1
250000,Cheras,Partly Furnished,3,2,1
250000,Cheras,Partly Furnished,3,2,1
250000,Cheras,Partly Furnished,3,2,1
250000,Cheras,Partly Furnished,3,1,1
250000,Cheras,Partly Furnished,3,2,1
250000,Cheras,Partly Furnished,3,1,1
250000,Desa Petaling,Partly Furnished,3,2,1
250000,Desa Petaling,Partly Furnished,3,2,1
250000,Desa Petaling,Partly Furnished,3,2,1
250000,Desa Petaling,Partly Furnished,3,2,1
250000,Desa Petaling,Unfurnished,3,2,1
250000,Desa Petaling,Unfurnished,3,2,1
250000,Jalan Klang Lama (Old Klang Road),Partly Furnished,3,2,1
250000,Jalan Klang Lama (Old Klang Road),Partly Furnished,3,2,1
250000,Jalan Kuching,Partly Furnished,3,2,1
250000,Jalan Kuching,Partly Furnished,3,2,1
250000,Kepong,Partly Furnished,2,1,1
250000,Kepong,Partly Furnished,2,1,1
250000,Kepong,Partly Furnished,3,2,1
250000,Kepong,Partly Furnished,3,2,1
250000,Kepong,Unfurnished,3,2,1
250000,Kepong,Unfurnished,3,2,1
250000,Segambut,Partly Furnished,2,2,1
250000,Segambut,Partly Furnished,2,2,1
250000,Segambut,Unfurnished,2,1,1
250000,Segambut,Unfurnished,2,1,1
250000,Setapak,Fully Furnished,3,2,1
250000,Setapak,Fully Furnished,3,2,1
250000,Setapak,Partly Furnished,3,1,1
250000,Setapak,Partly Furnished,3,1,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Partly Furnished,3,2,1
250000,Setapak,Unfurnished,3,2,1
250000,Setapak,Unfurnished,3,2,1
250000,Setapak,Unfurnished,3,2,1
250000,Setapak,Unfurnished,3,2,1
250000,Setapak,Unfurnished,3,2,1
250000,Setapak,Unfurnished,3,2,1
250000,Setapak,Unfurnished,3,2,1
250000,Setapak,Unfurnished,3,2,1
250000,Taman Desa,Unfurnished,3,2,1
250000,Wangsa Maju,Partly Furnished,2,1,1
250000,Wangsa Maju,Partly Furnished,2,1,1
255000,Ampang,Partly Furnished,3,2,1
255000,Ampang,Partly Furnished,3,2,1
255000,Cheras,Partly Furnished,3,2,1
255000,Cheras,Partly Furnished,3,2,1
255000,Desa Petaling,Unfurnished,3,2,1
255000,Setapak,Partly Furnished,3,1,1
255000,Setapak,Partly Furnished,3,1,1
